sigma,price
0.347700,983.442091
0.347600,983.458062
0.347800,983.422600
0.347900,983.400155
0.348100,983.362740
0.348300,983.331162
0.348600,983.329578
0.348500,983.333782
0.348900,983.267830
0.348800,983.280572
0.349100,983.250559
0.349200,983.227200
0.349500,983.180240
0.349300,983.210099
0.349600,983.172507
0.349800,983.144808
0.350000,983.109001
